Comment,Topic (choose from the 'key ' worksheet and type topic class number):,Sentiment (type Pos/Neg/Neu): ,Annotator Notes:
Better ways to use technology to create alternative modes of transit other than cars.,1. Transportation systems/vehicles and autonomy,Neu,
An evolving city that adapts to changes to meet the citizen's needs. ,11. Other,Pos,
Better Urban Planning.,7. Agriculture and rural productivity and quality of life,Neu,
"The amount of people moving here creating more business opportunities (need for more services, businesses, roads, etc)",11. Other,Pos,
cities that have a robust network of interconnected and centralized services that are easily accessible to citizens and that and that use user input to make processes more efficient and learn better ways of delivering information and services.,3. Wireless communications and broadband applications,Pos,
Interactive and energy efficient,6. Public utilities for energy/water/and waste management,Neu,
Wide use of the internet to disseminate info,3. Wireless communications and broadband applications,Neu,
"Opportunity to leverage our geo position to bring business to SA, continue to provide opportunities to all communities to create a career in SA longterm ",11. Other,Pos,
Nothing at the moment that actually excites me or that I̥m looking forward to,11. Other,Neg,
Access to real-time data to make decisions...,2. Data governance and city data platforms and dashboards,Neu,
"Focusing on what CITY government should-police, fire, streets , drainage",6. Public utilities for energy/water/and waste management,Neg,
I think Port SA has the potential to grow our technology and aviation interest. Building UTSA downtown is important to our future for young adults attending college.,9.  Education and workforce development,Pos,
proporcionando mas informacion  sobre nuevas oportunidades de todo tipo  para los residentes.,11. Other,Neu,
"Increased communication about what sorts of programs are available, more outreach",10. Community well-being,Neu,
"good public transit, easily accessible public services",1. Transportation systems/vehicles and autonomy,Pos,
That walkable areas are coming alive again and coveted. ,11. Other,Pos,
better interaction with the public,10. Community well-being,Neu,
"Beautiful and exciting attractions, events, and activities. ",11. Other,Pos,
Upgrades but still small. ,11. Other,Neg,
internet access all over city and able to conduct business on line for government services ,3. Wireless communications and broadband applications,Neu,
QR codes to access Wifi in public areas that share environmental information about that particular area. ,3. Wireless communications and broadband applications,Neu,
"Well connected city that functions like a clock.  Alerting, timely and with many parts working together.",11. Other,Neu,
I'm hoping to see more solar on more roofs.  Greenscape on the sides of buildings and more trees.  I can see this as a strong possibility here.,5. Community resilience/adaptability/and sustainability,Pos,
People invested in our duty ,11. Other,Neu,
Prek expanding,9.  Education and workforce development,Neu,
"Overall, our growth is positive but I do not want lower-income people to be pushed to the suburbs. I want to create a dynamic downtown, where people of all incomes can enjoy their day-to-day life. Further, we have to be careful about giving big companies tax incentives. We should be investing in local, smaller, developers who can breath life into our communities while keeping housing affordable. As our city grows, we must ensure we don't lose our authenticity and the working-class gumption that makes us who we are. San Antonio is approachable, much like the Spurs, we embody a hard-working, friendly, humble mentality and I don't want to lose that!",10. Community well-being,Pos,Fits 2 or more categories
A public relations firm ,11. Other,Neu,
Access to efficient public transportation. I was originally interested in public transportation when I moved to San Antonio until I found my usual 15 minute commute would turn into 50 minutes plus a half mile walk. We also have bus stops with no shade in unlit areas. As a  city we are not offering safe or efficient public transportation options. I know as a resident until the safety and accessibility increases I will not take advantage. ,1. Transportation systems/vehicles and autonomy,Pos,
"The possibility is that San Antonio could be a leader in technology, sustainability, and environmental awareness.",5. Community resilience/adaptability/and sustainability,Pos,
I believe the potential is what makes me most excited. We have the resources to do what other cities are achieving such as Austin but I want to get away from being known as a military city and tourist city. I want the exciting things being done in San Antonio to be the driving force behind people moving here.,11. Other,Pos,
a city using smart technology and moving with the times,8. Smart building technologies and IoT applications,Neu,
Improving service delivery,10. Community well-being,Neu,
It's progressive and visionary.,11. Other,Pos,
free WiFi in public parks and downtown,3. Wireless communications and broadband applications,Neu,
"Locating information on housing support and other social services is confusing and frustrating. I work in a library and time and time again assist patrons through a very convoluted way to find the information they need, and they often require 2 or more trips to the library to conduct their research.",10. Community well-being,Neg,
The ability to connect with services in the easiest and more efficient way.  Being able to commute throughout the city easily.  Being on the cutting edge of technology.,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
Technology driven,8. Smart building technologies and IoT applications,Neu,
A city that is data driven.,2. Data governance and city data platforms and dashboards,Neu,
The possibility that I might be able to remain in retirement.  Property Taxes have increased so much that I am not certain I could afford to stay. My tax burden for the privilege to live here has gone up every single year. At this rate I will be taxed out of the area. It makes me sad.,10. Community well-being,Neg,
The growth and diversity ,10. Community well-being,Neu,
To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.,7. Agriculture and rural productivity and quality of life,Pos,Fits 2 or more categories
more easily navigable website.,3. Wireless communications and broadband applications,Neu,
affordable phone service for all; increased use of solar energy to make the city less dependent on the Texas grid ,5. Community resilience/adaptability/and sustainability,Neu,
I would like for it to be used to help make it easier to get a hold of services ,2. Data governance and city data platforms and dashboards,Neu,
"Stop using automated systems that both waste the consumers time and are ineffective! Stop companies and corporations from outsourcing positions oversea, employees are not well versed to handle client needs and are taking jobs away from citizens that need them here! Find and implement ways to stop robocalls and scams across the board for all consumers at no additional cost! And many other possibilities that technology could and in time will!",8. Smart building technologies and IoT applications,Neg,
"A city that incorporates many sectors and the public voice in the information it gathers to make decisions. Decisions are made with an eye on the future as well as current needs to create a healthy and safe city for all, not just the priveleged.",11. Other,Neg,
"Clean, green, and with reliable public transportation.",1. Transportation systems/vehicles and autonomy,Pos,
"becoming more knowledgeable about how access to city information via technology, having access to that technology, so we can make better informed decisions for ourselves. ",8. Smart building technologies and IoT applications,Pos,
"Waiting for more visionary, forward thinking leaders who are actually thinking about the future (more than the next year, paycheck, or election cycle) that have the execution to back it to get excited, honestly.",11. Other,Neg,
Look into permanent resolutions for connectivity issues and wireless access throughout the city. ,3. Wireless communications and broadband applications,Neu,
Efficient and affordable management of a city and all of its resources and population,11. Other,Pos,
To give us shorter way of traveling to and from to our transportation.,1. Transportation systems/vehicles and autonomy,Neu,
Efficient public transportation and access to internet,1. Transportation systems/vehicles and autonomy,Neu,
A city that embraces technology and creates more opportunity for others. ,9.  Education and workforce development,Neu,
"It's all about access. There needs to be more computers, WIFI, and better options for low-cost in-home internet. With only a handful of companies in town you're stuck with whichever one is where you live- Spectrum, Xfinity, etc. It makes no sense for my internet that cost $40 a month to jump to $70 a month simply because I'm going to continue using it. So many more people are working from home these days, access is EVERYTHING.",3. Wireless communications and broadband applications,Neu,
"Building the most welcoming, resilient community in the country! I love San Antonio and am very happy to call it home for where my wife and I are raising our family. ",5. Community resilience/adaptability/and sustainability,Pos,
I am excited for all of the downtown development,7. Agriculture and rural productivity and quality of life,Pos,
Free to all,11. Other,Neu,
Need to get rail transit. ,1. Transportation systems/vehicles and autonomy,Neu,
Send out more Emergency alerts. Make technology easier for disable persons.,10. Community well-being,Neu,
Pedestrian lights at crosswalks,1. Transportation systems/vehicles and autonomy,Neu,
Offer free internet when in the city ,3. Wireless communications and broadband applications,Neu,
Using the data to make our city better equipped ,2. Data governance and city data platforms and dashboards,Neu,
City's with high speed internet access and options. Lots of places to get online and charge mobile devices.,3. Wireless communications and broadband applications,Pos,
City growth and strong economy attracting businesses to move here,11. Other,Neu,
"It makes me think of ""smart home"" but I don't think that's the intention",8. Smart building technologies and IoT applications,Neg,
Integrated use of smart technology to improve access to vital services and speed response time.Nothing,8. Smart building technologies and IoT applications,Pos,
"A connected, inclusive and resilient future where I can have autonomy over public services and can trust them. ",11. Other,Pos,
"Using technology, data, to bring/improve public services.",8. Smart building technologies and IoT applications,Neu,
"There should be an easy to use app for 311. Also, I should be able to use an app like ""waste wizard"" to find specific info for my houses trash services. I'd like to be able to search what goes in what bin and schedule additional services through it. Public transit does not need such a thing because it should be so frequent I don't need to check an app!",3. Wireless communications and broadband applications,Pos,
A city trying to advance itself to its next level,11. Other,Neu,
Rapid growth to come with the advantage of seeing what other big cities have failed to do.,11. Other,Pos,
"AI backed online chat service to answer common questions, making easy access to outage information.",2. Data governance and city data platforms and dashboards,Neu,
A city that has open communication between agencies.,2. Data governance and city data platforms and dashboards,Neu,
Apps that are trusting and safe,4. Cybersecurity and privacy for public and private sectors,Neu,
"Accessible Information to all, where to go for help fast",2. Data governance and city data platforms and dashboards,Neu,
Free internet,3. Wireless communications and broadband applications,Neu,
Better accessibility,10. Community well-being,Neu,
lowering our air pollution,6. Public utilities for energy/water/and waste management,Neu,
New opportunities ,9.  Education and workforce development,Neu,
"Give Via busses priority at lights, provide wifi on busses AND at bus stops, improve looking up bus schedules and real-time bus ETAs on the phone, and account for temporarily missing bus stops on schedules and ETAs.",1. Transportation systems/vehicles and autonomy,Pos,
More use of sustainable development ,5. Community resilience/adaptability/and sustainability,Pos,
Better public transportations,1. Transportation systems/vehicles and autonomy,Neu,
"Northeast-style cities similar to Washington, D.C., Boston, and New York that leverage public transportation/rail systems/technology in an globalizing and urbanizing context to build cities that foster human interaction, walkability/health, abundant housing options, etc.",1. Transportation systems/vehicles and autonomy,Pos,
The possibility for San Antonio to set an example for other cities in Texas in terms of transit infrastructure.,1. Transportation systems/vehicles and autonomy,Pos,
"Hybrid, energy conserving",6. Public utilities for energy/water/and waste management,Neu,
more access to info like mutual aid and having a connected public transport system,1. Transportation systems/vehicles and autonomy,Pos,
A technology based city like San Francisco ,8. Smart building technologies and IoT applications,Neu,
Commuter rail system ,1. Transportation systems/vehicles and autonomy,Neu,
"Environmental sustainability, becoming a more green city",5. Community resilience/adaptability/and sustainability,Pos,
All of city information is easily accessible and easy to find.,2. Data governance and city data platforms and dashboards,Pos,
"Economic growth / diversity. While SA is undergoing explosive growth, I hope the city is looking into preserving green spaces for our animals / environment / leisure",7. Agriculture and rural productivity and quality of life,Pos,
"What excites me the most is the ability for change and to change. It's 2022, it's not exactly the world we imagined when we were young, the workforce has changed, there's a big emphasis on knowing your worth and mental health, with all of these things we can create a better city for everyone- even those who think change is too progressive and inclusive. Each and everyone one of us deserves a chance to succeed and San Antonio is the place to do it. A large latinx community, so many people moving in, millennials taking over and dropping old expectations and societal pressures. The city can listen and make those changes.",11. Other,Pos,
The multi-cultural mixture that we call American.,11. Other,Neu,
"Electric light rail like Salt Lake City, UT has.  Charging stations for EV.  Easy access to Dr Offices and Labs for physically challenged people.  Internet access for all.",1. Transportation systems/vehicles and autonomy,Neu,
"Real-time, specific bus info (arrivals, departures) at the station and integrated with Google maps. No more apps please.",1. Transportation systems/vehicles and autonomy,Neu,
User mejor el internet para informar mas sobre las comunidades,3. Wireless communications and broadband applications,Neu,
"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device",8. Smart building technologies and IoT applications,Neu,
The ability for us to become a large tech hub and take care of other San Antonians.,8. Smart building technologies and IoT applications,Pos,
A city where technology is used to integrate systems & services to make it easier and faster for citizens to access what they need ,8. Smart building technologies and IoT applications,Pos,
"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to have an ability to know who does what. What schools are involved, how are businesses contributing and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options.",3. Wireless communications and broadband applications,Pos,
Free internet everywhere in bexar county ,3. Wireless communications and broadband applications,Neu,
Green energy,6. Public utilities for energy/water/and waste management,Neu,
"Increase who has access to technology, especially people with low incomes. ",10. Community well-being,Pos,
Citywide public wifi and EV chargers,3. Wireless communications and broadband applications,Neu,
Not much right now other than the ever-so-slight increase in efforts to create housing that long-time residents can afford.,7. Agriculture and rural productivity and quality of life,Neu,
A city integrated with technology that useful to all,8. Smart building technologies and IoT applications,Neu,
Better safe and sustainable infrastructure for healthy living.,5. Community resilience/adaptability/and sustainability,Pos,
Better Government representation and not GREED!,11. Other,Neg,
Provide emergency information to all citizens. Snow storm last time left us all in the dark,10. Community well-being,Neg,
"Smart cities to me are those that collect the data on changes and trends on a variety of subjects, organize it, and share  it to the public and decision makers.  This might allow problems to be addressed proactively to prevent crisis modes.  ",8. Smart building technologies and IoT applications,Pos,
"Trains, unions, walkable city",1. Transportation systems/vehicles and autonomy,Neu,
Public transportation that is reliable. Right now our only option is VIA. I previously took advantage of the park and ride option...until my stop was closed due to construction.,1. Transportation systems/vehicles and autonomy,Pos,
"Help me secure rental housing, housing assistance and help with improving my credit. Easier access to for sale homes before investors buy them.",7. Agriculture and rural productivity and quality of life,Pos,
Visually impaired people can have easier access to technology ,10. Community well-being,Neu,
"Timed traffic lights, online access to more city services,",1. Transportation systems/vehicles and autonomy,Neu,
the development in our communities ,10. Community well-being,Neu,
Improve accessibility and information,10. Community well-being,Neu,
"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way",5. Community resilience/adaptability/and sustainability,Pos,
Seeing how all this new technology that is being developed will be used by the city to improve city services and modernizing a lot of the processes and services that it provides.,8. Smart building technologies and IoT applications,Pos,
Growing in the right way,11. Other,Pos,
Affordable internet for family ,3. Wireless communications and broadband applications,Neu,
"District 1 is forgot. Out of touch with the needs. Crime is up, more homeless it affects businesses and residents. Noise control street control. ",10. Community well-being,Neg,
the willingness of our current city leadership to try new and innovative ideas with the intent to better serve our community. ,11. Other,Pos,
Smart turning lanes. Lines light up to help keep cars in the appropriate lanes when turning.,1. Transportation systems/vehicles and autonomy,Neu,
improvements to downtown and impoverished neighborhoods,7. Agriculture and rural productivity and quality of life,Pos,
More efficient cities. Cities with rapid public transit; where it̥s easy to navigate via smart phone.,1. Transportation systems/vehicles and autonomy,Pos,
Solar panels as a main source of electricity; faster and more efficient trains; make communities for regenerative; make information and services for accessible and equitable. ,5. Community resilience/adaptability/and sustainability,Neu,Fits 2 or more categories
Technology and data driven,8. Smart building technologies and IoT applications,Neu,
Steady well paced growth ,11. Other,Pos,
Better traffic management,1. Transportation systems/vehicles and autonomy,Neu,
Endless possibilities of convenience in the transportation ,1. Transportation systems/vehicles and autonomy,Pos,
"Improve crime prevention and response by using technology such as smart cameras that can read license plates, used data to help reduce & prevent crime. ",4. Cybersecurity and privacy for public and private sectors,Pos,
attempting to become carbon neutral,6. Public utilities for energy/water/and waste management,Neu,
"rail, more green spaces, urban density",7. Agriculture and rural productivity and quality of life,Neu,Fits 2 or more categories
"Expanding Internet access to all, providing reliable and safer transportation options that are better for our air quality, and providing a more reliable power grid that reduces cost to the consumer.",3. Wireless communications and broadband applications,Pos,Fits 2 or more categories
"Streamline, affordable and simple public transport which keeps traffic low for those that must drive and offsets some pollution. Safe and clean walkways and parks for locals and visitors.",1. Transportation systems/vehicles and autonomy,Pos,
Green spaces ,7. Agriculture and rural productivity and quality of life,Neu,
"Smart cities invest in high quality infrastructure, such as streets & drainage, public safety, and parks, that improves the daily lives of the community which allows the community to be safe, healthy and productive.",5. Community resilience/adaptability/and sustainability,Pos,
awareness of programs & services,11. Other,Neu,
Allow all the residents to access internet.,3. Wireless communications and broadband applications,Neu,
Cities using data and technology to understand people's needs to then drive further technology innovation back into the community.,2. Data governance and city data platforms and dashboards,Neu,
"A smart city has robust and reliable public infrastructure, especially public transit. From London to Tokyo to NYC, all of the best and most thriving cities in the world have great public transit thanks to major investments in public infrastructure. San Antonio deserves the same.",1. Transportation systems/vehicles and autonomy,Neu,
Two areas come to mind instantly:  1) Give me one secure place  I can go to submit payment for various city services/fees/etc... 2) Give me a central starting point for all City Services offered so I can easily find the help I need,4. Cybersecurity and privacy for public and private sectors,Neu,
Accessible technology. Transportation such as electric trains to commute within the city. Better road system.,1. Transportation systems/vehicles and autonomy,Neu,
We have economic opportunities not only as a city but a State as well. Lots of restoration projects are being done and other new projects to expand the city structure.,5. Community resilience/adaptability/and sustainability,Neu,
Trains and getting rid of houseless deterrent infrastructure. ,1. Transportation systems/vehicles and autonomy,Neu,
"Rail system, shaded lush parks and rivers, no litter, no dependence on coal or gas ",6. Public utilities for energy/water/and waste management,Neu,
We could be the lead and model city if we actually had at least one line of high speed rail or metro around this city. Individuals outside of Texas do not even know SA is a city. They think it is a town because there is no metro! ,1. Transportation systems/vehicles and autonomy,Neu,
i think what scares me most is the increase in population and traffic that is outgrowing the infrastructure.,1. Transportation systems/vehicles and autonomy,Neg,
Changing what we destroyed in regards to climate ,7. Agriculture and rural productivity and quality of life,Neu,
"Streamlined public transit aside from gas vehicles, technologically advanced public facilities (city hall, court house), stipends for residents to ""go electric""",1. Transportation systems/vehicles and autonomy,Neu,
Measuring traffic data and building roads accordingly. ,2. Data governance and city data platforms and dashboards,Neu,
"Access to basic digital infrastructure, especially to students, student in low income areas. Make sure our youth have access to and exposure to technology in low income areas. Especially from their homes.",8. Smart building technologies and IoT applications,Neu,
Growth and opportunities ,6. Public utilities for energy/water/and waste management,Neu,
Quality control with cost efficient services ,7. Agriculture and rural productivity and quality of life,Neu,
Lights on the street,6. Public utilities for energy/water/and waste management,Neu,
"Make better mobile friendly websites and apps to link citizens and public transportation like buses, taxis, bike sharing, airports, etc.",1. Transportation systems/vehicles and autonomy,Neu,
"Increased access to government services. ie dmv offices, tax collection offices, and lower wait times.",2. Data governance and city data platforms and dashboards,Neu,
Es muy avansada la tecnologia hoy en dia pero una ciudad inteligente seria muy dificil entender ,11. Other,Neu,
Internet service for everyone ,3. Wireless communications and broadband applications,Neu,
Scan codes at bus stops,2. Data governance and city data platforms and dashboards,Neu,
I am pleased to know that there are so many options for the families of San Antonio can turn to when problems or questions arrive.  And as far as the environment plan its great that you involve the community to help in the areas that they can because it will take everyone's involvement to make this happen and succeed for our future.,5. Community resilience/adaptability/and sustainability,Neu,
Being a nice place to live without crime and increase in technology.,8. Smart building technologies and IoT applications,Neu,
"Currently, the CoSA online payment system for bills (ie: monthly parking) requires using Internet Explorer that doesn't even exist anymore. This is a super basic pain point for everyday life and an easy fix. Super disrupting monthly just trying to pay a bill. They require paper checks or a phone back and forth to pay a small bill. The hours  this takes is costly. There are many larger issues like hyperconnectivity to improve healthcare, transportation, basic services (ie: water, safety, etc.) that could make a huge personal and economic impact on citizens, businessnesses, and visitors.",6. Public utilities for energy/water/and waste management,Neu,
Use it to target the communities that need it most ,11. Other,Neu,
ALPR sited in receptive neighborhoods so logs can help track down criminals,4. Cybersecurity and privacy for public and private sectors,Neu,
"The opportunity to create vibrant walkable neighborhoods and activity nodes connected by safe and comfortable walking, biking, and transit options.",4. Cybersecurity and privacy for public and private sectors,Neu,
Government control,2. Data governance and city data platforms and dashboards,Neu,
Railway __ like Europe ,1. Transportation systems/vehicles and autonomy,Neu,
Cities that are using the most current technology to provide services to their citizens,8. Smart building technologies and IoT applications,Neu,
Everything digital,11. Other,Neu,
"Manageable growth. Not hyper growth like Austin, not too slow like Waco.",11. Other,Neu,
More integration with mobile apps and notifications. ,8. Smart building technologies and IoT applications,Neu,
"Easy access to all major areas of the city via reliable and fast public transit - that is, a more environmentally friendly and walkable city.",1. Transportation systems/vehicles and autonomy,Neu,
Notifications of the way technology is already being used. An app for bus routes,8. Smart building technologies and IoT applications,Neu,
"We can create a walkable/rideable/wheelable, cleaner/safer transit system, connected to public spaces and places we need to go, that also cools, greens, and enhances our city with nature, improving our health and the health of the city and it's urban environment. City Equity Atlas/Map and SA Climate Action and Adaptation Plan focused. ",1. Transportation systems/vehicles and autonomy,Neu,
"More charging places for electric vehicles, better internet access, more electric means of public transportation",3. Wireless communications and broadband applications,Neu,
Find a better way to have a safer access to transport at all hours for all ages.,1. Transportation systems/vehicles and autonomy,Neu,
the untapped potential of its human capital,8. Smart building technologies and IoT applications,Neu,
Prioritize making digital processes the standard. Most services can be done online. ,3. Wireless communications and broadband applications,Neu,
Safe and accessible ,8. Smart building technologies and IoT applications,Neu,
Cities using technology,8. Smart building technologies and IoT applications,Neu,
"For better or worse, using the ""internet of things"" to make the City function more conveniently.",3. Wireless communications and broadband applications,Neu,
"Safety, security, and stability.",4. Cybersecurity and privacy for public and private sectors,Neu,
The opportunity to lead versus follow!,11. Other,Neu,
Possibility for a vibrant and enjoyable urban core for locals - not just tourists ,11. Other,Neu,
More technology.,8. Smart building technologies and IoT applications,Neu,
"Cities that provide efficient, responsive, resilient, and proactive services to their residents.",11. Other,Neu,
Find ways to help San Antonio citizens respond to changes in climate. ,11. Other,Neu,
"not sure, but fiscal responsibility and innovation should be priority.  We do not want to be like LA, NY, Chicago, San Fran, or Austin.  Keep the trees and remove the hippie communist.",11. Other,Neu,
Make mutual aid and community programs more seen,3. Wireless communications and broadband applications,Neu,
"Connected city, to services, facilities, public information, and internet access.",3. Wireless communications and broadband applications,Neu,
Not much to be honest.  Once our kids graduate high school we are probably moving to a city where it's possible to get around without a car.  Will certainly miss the food!,9.  Education and workforce development,Neu,
Electric instead of gas-powered.  My problem is our electric grid is barely hanging on.  Maybe we should use both and improve our gas situation with using United States gas.    ,6. Public utilities for energy/water/and waste management,Neu,
The traditions that we will be able to share with those that come visit or come live here as we expand.,11. Other,Neu,
I'm most excited that the city is invested in working on improving our future and has some of the most talented professionals working on this.  It would really be exciting to see them accomplish something that  would gain national news worthiness and drive more companies to San Antonio!,11. Other,Neu,
Upgrading city video cameras and adding cameras to river walk/downtown area. To decrease crime.,2. Data governance and city data platforms and dashboards,Neu,
It can help look up transportation ,1. Transportation systems/vehicles and autonomy,Neu,
addressing climate change,7. Agriculture and rural productivity and quality of life,Neu,
The leadership at present.  Progress needs to continue for ALL citizens.,6. Public utilities for energy/water/and waste management,Neu,
Rail way system ,1. Transportation systems/vehicles and autonomy,Neu,
"Public transport so good you don't need a car, and plenty of green spaces. A city build for people NOT vehicles ",1. Transportation systems/vehicles and autonomy,Neu,
"internet access in public spaces.  No more paper form, can all be done online",3. Wireless communications and broadband applications,Neu,
cities who have ways to save electricity ,6. Public utilities for energy/water/and waste management,Neu,
Use demographic data to better take care of those without means to take care of themselves.,2. Data governance and city data platforms and dashboards,Neu,
"It is a city that prepares for the future; a city that enhances the quality of life and reduce emissions.  One in which infrastructure and services must be more efficient and environment-friendly, anc accessible to all..  ",1. Transportation systems/vehicles and autonomy,Neu,
"We need rail. Not just in rich areas or poor or near sporting areas. Across the city. And not Tesla's stupid tunnel for their cars only. Fewer cars, more people should be the goal. Which will improve the environment, the cost of living, and employment.",5. Community resilience/adaptability/and sustainability,Neu,
Opportunity to become a Blue Zone or like public health project - must take care of safety first though as people have to feel safe to get outside and exercise. Even areas long considered safe places to do that have begun to experience high crime,4. Cybersecurity and privacy for public and private sectors,Neu,
New technology better improvement ,8. Smart building technologies and IoT applications,Neu,
"A city that makes decisions that positively impact the citizens, services and environment.",5. Community resilience/adaptability/and sustainability,Neu,
more education,9.  Education and workforce development,Neu,
Technology training and job opportunities for the younger generation.,8. Smart building technologies and IoT applications,Neu,
Connection of the city's greenway trail system as a public amenity for the entire community to enjoy.,1. Transportation systems/vehicles and autonomy,Neu,
Greater access and efficiency ,2. Data governance and city data platforms and dashboards,Neu,
How it can be accessible to everyone in the community. More bathrooms for moms who have children with disabilities and more gender neutral bathrooms,1. Transportation systems/vehicles and autonomy,Neu,
A well connected metropolis with extensive and wholly accessible public transit options ,1. Transportation systems/vehicles and autonomy,Neu,
Quality of life.,7. Agriculture and rural productivity and quality of life,Neu,
More police,5. Community resilience/adaptability/and sustainability,Neu,
"Being branded a creative thinking city and a leader in showing how a diverse city can find and implement big ideas to solve big problems, offer access to citizens at every level, and prepares citizenry for jobs of the future.",11. Other,Neu,
Improve the ever growing transportation issue in San Antonio,1. Transportation systems/vehicles and autonomy,Neu,
The continual expansion. And welcome to all people moving into our city,11. Other,Neu,
Public transportation scheduling and communication improvements ,1. Transportation systems/vehicles and autonomy,Neu,
"We have an opportunity to learn from the mistakes of Austin, where so many people simply can't afford to live, nor do they want to live.  The city has lost what made it a great place.  We have to avoid that in SA because without the culture what are we?  Embrace our roots, avoid pricing people out, prevent the pollution and traffic problems that come with growth.  Don't turn us into Houston!  haha",11. Other,Neu,
More WiFi options,3. Wireless communications and broadband applications,Neu,
"A municipality that utilizes new technologies, both hardware and software, to solve issues and improve daily life for the public. ",8. Smart building technologies and IoT applications,Neu,
Smart devices and data.,2. Data governance and city data platforms and dashboards,Neu,
Using popular media outlets (like social media) more effectively to communicate information. Each division should have it's own social media page to get the word out about what's going on. ,3. Wireless communications and broadband applications,Neu,
"San Antonio sits at the intersection of the federal government, academia, and private industry ... hopefully this will translate to increased economic opportunities going forward.",2. Data governance and city data platforms and dashboards,Pos,
"Infrastructure, connectedness, informed",11. Other,Neu,
the tech jobs that are coming here.  We need to not just expand but make sure it is a planned expansion and that the city is able to keep up and provide services to all of the new people and companies coming here,8. Smart building technologies and IoT applications,Neu,
"Cities that are intentional in their development and governance with an eye to making improvements that benefit citizens in the long term, not short term politics and decisions.",2. Data governance and city data platforms and dashboards,Neu,
leverage technology for those that are most at risk of poor access to healthcare. Healthcare literacy and poor access to healthcare continues to be a city wide issue. ,8. Smart building technologies and IoT applications,Neu,
A city that has internet for all and uses apps for communicating with citizens.,3. Wireless communications and broadband applications,Neu,
Neutral not political info,11. Other,Neu,
Citizen forums ,3. Wireless communications and broadband applications,Neu,
The opportunity to do better than some other cities have.,11. Other,Neu,
Eco friendly that also uses technology,5. Community resilience/adaptability/and sustainability,Neu,
Family oriented ,11. Other,Neu,
"Nothing at the moment. Crime is a growing problem throughout the city and driving city streets and freeways is becoming increasingly dangerous. If we don't feel safe, nothing else matters.",5. Community resilience/adaptability/and sustainability,Neu,
Cities that are efficient and implement data driven infrastructure. ,2. Data governance and city data platforms and dashboards,Neu,
More advertisement for programs to help the community ,11. Other,Neu,
Better transportation infrastructure. ,1. Transportation systems/vehicles and autonomy,Neu,
downtown development,9.  Education and workforce development,Neu,
"What most excites me is the rate at which the city is adopting new technologies. If San Antonio can become a tech center for the future, Silicon Valley and Fortune 500 companies will take notice and help to modernize the city and provide lucrative jobs.",5. Community resilience/adaptability/and sustainability,Neu,
"Good design, better connected, full of opportunity ",11. Other,Neu,
Be able to sign up on line for city services to avoid having to wait in line and getting a text message when you are up next.,3. Wireless communications and broadband applications,Neu,
More people are moving back to the city and there is potential to make the downtown area vibrant,11. Other,Neu,
Solar capabilities,6. Public utilities for energy/water/and waste management,Neu,
"We have a lot of growth and investment. If managed well, I think this is an opportunity to radically transform the city. ",1. Transportation systems/vehicles and autonomy,Neu,
Internet gratis,3. Wireless communications and broadband applications,Neu,
More things online and easy to use. More robust high speed internet access and choices.,3. Wireless communications and broadband applications,Neu,
"Walkable cities with fiber internet, job growth, public transportation, that utilize clean energy such as solar for public buildings, traffic lights etc, use water conservation efforts, and offer a robust recycling program",1. Transportation systems/vehicles and autonomy,Neu,
public transport,1. Transportation systems/vehicles and autonomy,Neu,
The new and improved infrastructure projects.,11. Other,Neu,
Smart planning/ environment for all ,5. Community resilience/adaptability/and sustainability,Neu,
Protected bicycle lanes.,1. Transportation systems/vehicles and autonomy,Neu,
Increase and improve public transportation ,1. Transportation systems/vehicles and autonomy,Neu,
"A city that is making smart choices in regards to improving the lives of their community members; from over all health, to access to reliable internet connections. ",3. Wireless communications and broadband applications,Neu,
Cities that better contribute to the people of the city.,11. Other,Neu,
The opportunity to build the above from scratch,11. Other,Neu,
"Installing public WiFi in heavily public-trafficked areas, providing technology for house less folks, create a safer and better public transit system.",1. Transportation systems/vehicles and autonomy,Neu,
San Antonio is a city with lots of potential. It already is a very nice place to live and the only way San Antonio can move is forward. I am excited to see what the city becomes and hope that it prioritizes preserving green spaces among its growth.,5. Community resilience/adaptability/and sustainability,Pos,
Technology that helps you connect and access community services to improve your quality and safety of life ,8. Smart building technologies and IoT applications,Neu,
Cities with great public transportation & universal access to health care & internet,1. Transportation systems/vehicles and autonomy,Neu,
A rail-based public transit that spans the entire city and not just one area.,1. Transportation systems/vehicles and autonomy,Neu,
"I have a negative view of anything preceded by the ""smart"" adjective. Often they are just a new way to rip people off.",8. Smart building technologies and IoT applications,Neg,
Better traffic! ,1. Transportation systems/vehicles and autonomy,Neu,
Sustainable eco system that teaches people how to live more frugal and better prepared for an emergency or natural disaster.  ,5. Community resilience/adaptability/and sustainability,Neu,
"Having wifi access in public spaces, charging stations around the city, and electrical solar power sources",3. Wireless communications and broadband applications,Neu,
